시도명,숙박여행재방문의향
서울특별시,74.8
부산광역시,77.6
대구광역시,74.6
인천광역시,76.3
광주광역시,76
대전광역시,74.2
울산광역시,77.6
세종특별자치시,70.3
경기도,76.4
강원특별자치도,77.5
충청북도,76.4
충청남도,77.3
전북특별자치도,79.6
전라남도,79.7
경상북도,76.2
경상남도,79
제주특별자치도,78.2
