시도명,연간총매출액(호텔)
서울특별시,2.85746E+12
부산광역시,6.30427E+11
대구광역시,1.58531E+11
인천광역시,3.76702E+11
광주광역시,9666000000
대전광역시,69026000000
울산광역시,76153000000
경기도,3.88713E+11
강원특별자치도,2.35734E+11
충청북도,34260000000
충청남도,39764000000
전북특별자치도,1.06032E+11
전라남도,1.6639E+11
경상북도,1.72163E+11
경상남도,1.28374E+11
제주특별자치도,6.97526E+11
