시도명,탄소배출및흡수총계
서울특별시,48469343
부산광역시,18405997
대구광역시,13302340
인천광역시,20825412
광주광역시,8700022
대전광역시,8830891
울산광역시,14845975
세종특별자치시,2563461
경기도,95844841
강원특별자치도,-19217770
충청북도,9292598
충청남도,25311986
전북특별자치도,8294516
전라남도,9499867
경상북도,425670
경상남도,11901979
제주특별자치도,3773818
